name,age,has_spouse,spouse_accompanying,education_level,canadian_education,first_lang_speaking,first_lang_listening,first_lang_reading,first_lang_writing,has_second_language,second_lang_speaking,second_lang_listening,second_lang_reading,second_lang_writing,canadian_work_experience,foreign_work_experience,has_sibling_in_canada,has_job_offer,has_provincial_nomination,clb7_and_post_secondary,post_secondary_and_canadian_exp,foreign_and_canadian_exp,trade_certificate,spouse_education_level,spouse_canadian_exp,spouse_lang_speaking,spouse_lang_listening,spouse_lang_reading,spouse_lang_writing,crs_score,improvement_strategy
Marcus Williams,28,False,False,6,1,11,10,5,5,False,0,0,0,0,6,3,False,0,True,False,False,True,False,0,0,0,0,0,0,1073,"upgrade to master degree, improve language test scores, learn second official language"
Timothy Meyers,49,False,False,2,2,8,7,4,11,True,10,5,8,9,1,4,True,2,True,False,False,False,True,0,0,0,0,0,0,921,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Michele Coleman,25,True,True,6,3,12,10,11,12,True,5,5,12,7,5,2,True,2,False,False,False,False,True,3,6,5,4,6,8,607,upgrade to master degree
Patrick Patel,36,False,False,2,0,6,5,9,4,False,0,0,0,0,4,3,False,0,True,True,True,True,False,0,0,0,0,0,0,951,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Jesse Harper,22,True,True,8,3,7,8,6,12,True,9,9,12,10,5,0,False,2,True,False,False,True,False,6,1,7,7,11,8,1168,improve language test scores
Melissa Aguilar,19,False,False,5,3,10,12,6,12,False,0,0,0,0,1,3,True,2,False,False,True,True,False,0,0,0,0,0,0,571,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Karen Taylor,45,True,False,3,3,4,9,5,11,False,0,0,0,0,3,2,False,2,False,False,True,False,True,0,0,0,0,0,0,399,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, learn second official language, explore provincial nomination programs"
Mark Hanson,36,True,False,7,3,8,8,8,6,True,8,11,7,9,5,5,True,2,False,True,True,True,True,0,0,0,0,0,0,603,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores"
Shelley Fitzpatrick,47,True,False,7,0,10,7,12,8,True,4,5,10,9,1,4,False,2,False,False,False,False,True,0,0,0,0,0,0,421,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Julie Hernandez,49,True,True,2,2,6,5,5,9,True,8,6,6,6,4,4,True,1,False,False,True,True,False,5,2,4,10,12,12,506,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Benjamin Sweeney,41,True,True,8,3,10,4,6,8,False,0,0,0,0,6,1,False,1,True,True,False,False,True,4,6,4,5,6,11,1255,"apply soon to avoid further age point reductions, improve language test scores"
Sheri Hernandez,49,True,False,6,1,4,4,7,8,False,0,0,0,0,1,4,True,1,False,True,False,True,False,0,0,0,0,0,0,535,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, gain more Canadian work experience"
Robert Gordon,41,False,False,1,3,11,10,7,9,True,8,9,10,10,0,1,False,2,True,False,True,False,False,0,0,0,0,0,0,894,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Vincent Peterson,47,False,False,8,0,9,5,9,7,False,0,0,0,0,5,4,True,2,False,True,True,False,False,0,0,0,0,0,0,455,"apply soon to avoid further age point reductions, improve language test scores"
John Duarte,22,True,True,2,1,12,10,10,7,False,0,0,0,0,6,3,True,0,False,False,False,False,False,1,6,10,11,5,6,372,"upgrade to  degree, improve language test scores"
Lori Mcdonald,47,False,False,2,1,11,10,8,9,True,4,9,5,4,3,3,False,0,True,False,True,True,True,0,0,0,0,0,0,948,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Courtney Pineda,22,False,False,4,2,10,5,10,12,False,0,0,0,0,3,1,True,1,True,True,True,False,False,0,0,0,0,0,0,1273,"upgrade to bachelor degree, improve language test scores, learn second official language"
Misty Stone,37,False,False,4,3,8,6,6,4,False,0,0,0,0,4,3,False,1,False,True,False,False,False,0,0,0,0,0,0,563,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Lindsay Johnson,30,True,False,5,3,5,12,8,5,True,9,4,11,10,0,1,False,1,False,False,False,False,False,0,0,0,0,0,0,555,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Elizabeth Miller,28,False,False,6,0,11,4,7,12,True,4,11,7,5,4,5,True,0,False,False,True,False,True,0,0,0,0,0,0,526,"upgrade to master degree, improve language test scores, explore provincial nomination programs"
Joanna White,47,True,False,4,0,7,10,9,10,False,0,0,0,0,2,1,False,1,False,False,False,True,False,0,0,0,0,0,0,530,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Shannon Li,35,False,False,4,2,5,5,9,6,True,11,9,8,5,4,0,True,0,True,True,False,True,True,0,0,0,0,0,0,1045,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Lindsay Kirk,37,True,False,6,2,10,12,9,8,False,0,0,0,0,1,4,True,2,True,False,False,False,True,0,0,0,0,0,0,1111,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, gain more Canadian work experience"
Barbara Reese,24,True,False,1,0,5,9,8,12,False,0,0,0,0,5,5,False,1,False,True,True,False,True,0,0,0,0,0,0,609,"upgrade to  degree, improve language test scores"
Brandon Huff,27,False,False,7,0,8,12,9,9,False,0,0,0,0,6,1,True,1,False,False,False,True,True,0,0,0,0,0,0,772,"upgrade to PhD degree, improve language test scores"
Thomas Graham,25,True,False,5,0,12,6,4,10,False,0,0,0,0,6,1,False,1,False,True,False,False,True,0,0,0,0,0,0,681,"upgrade to bachelor degree, improve language test scores"
Johnathan Hughes,33,True,False,7,1,8,5,8,9,False,0,0,0,0,4,0,False,1,False,True,False,False,False,0,0,0,0,0,0,603,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores"
Christopher Bell,42,True,True,6,3,9,5,7,12,False,0,0,0,0,1,2,False,2,True,True,True,True,False,2,0,9,5,12,7,1071,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, gain more Canadian work experience, learn second official language"
Billy Nicholson,38,True,False,7,3,6,12,5,7,True,11,6,9,5,3,3,True,1,True,False,False,True,True,0,0,0,0,0,0,1310,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores"
Ronald Hernandez,17,True,False,1,2,4,5,6,11,True,6,12,11,7,0,2,True,2,False,True,False,True,False,0,0,0,0,0,0,239,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Ryan Gonzalez,33,True,False,2,3,11,7,5,9,True,10,9,11,6,2,1,False,0,True,False,False,True,False,0,0,0,0,0,0,971,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Maria Thompson,43,False,False,5,0,7,9,12,6,False,0,0,0,0,1,0,True,1,False,True,False,True,False,0,0,0,0,0,0,558,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Jamie Davis,48,True,False,5,2,5,7,12,11,False,0,0,0,0,3,0,True,0,True,True,True,True,True,0,0,0,0,0,0,1005,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, learn second official language"
Adam Owen,37,False,False,6,1,8,4,9,9,False,0,0,0,0,5,4,True,0,False,False,True,True,False,0,0,0,0,0,0,480,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores"
Chase Johnson,18,False,False,8,0,12,11,11,5,True,7,12,7,9,3,2,True,1,False,True,False,True,False,0,0,0,0,0,0,742,improve language test scores
Jessica Wright MD,26,False,False,5,3,9,5,9,6,False,0,0,0,0,5,2,False,0,True,True,False,True,False,0,0,0,0,0,0,1105,"upgrade to bachelor degree, improve language test scores"
Peter Gomez,21,False,False,2,2,12,4,11,4,False,0,0,0,0,6,3,True,2,True,False,False,True,False,0,0,0,0,0,0,1055,"upgrade to  degree, improve language test scores"
Scott Olson,21,False,False,7,0,6,5,7,7,True,6,9,12,11,0,3,True,0,True,False,True,True,True,0,0,0,0,0,0,1053,"upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Sarah Miller,49,False,False,3,3,8,7,11,9,True,9,8,6,6,3,2,True,0,False,True,False,True,True,0,0,0,0,0,0,428,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, explore provincial nomination programs"
Michael Johnson,23,True,False,5,1,4,7,7,9,True,6,7,9,4,1,2,False,0,True,False,False,True,False,0,0,0,0,0,0,1014,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Michael Hubbard,50,False,False,8,1,6,7,4,5,True,12,7,6,5,3,3,True,2,True,False,False,False,False,0,0,0,0,0,0,953,"apply soon to avoid further age point reductions, improve language test scores"
Emily Williams,48,True,True,6,2,6,4,6,8,True,11,12,10,10,4,2,False,2,False,True,False,False,False,8,1,5,9,8,5,376,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores"
Laura Gonzales,33,False,False,6,3,9,12,7,5,True,7,11,12,10,0,5,False,1,False,True,True,False,False,0,0,0,0,0,0,630,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, gain more Canadian work experience"
Ann Davis,23,False,False,6,3,10,10,10,5,False,0,0,0,0,5,4,False,2,True,False,True,False,True,0,0,0,0,0,0,1206,"upgrade to master degree, improve language test scores, learn second official language"
Mary Davis,22,True,False,4,1,10,6,4,9,True,8,4,5,12,2,0,False,0,True,True,False,True,False,0,0,0,0,0,0,1026,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Shawn Silva,42,True,False,8,3,11,7,5,10,False,0,0,0,0,3,0,False,1,False,False,True,False,True,0,0,0,0,0,0,638,"apply soon to avoid further age point reductions, improve language test scores, explore provincial nomination programs"
Thomas Kelley,38,True,False,6,2,9,12,11,9,False,0,0,0,0,3,5,True,1,False,False,True,False,False,0,0,0,0,0,0,663,"apply soon to avoid further age point reductions, upgrade to master degree"
Paul Grant,30,False,False,4,2,9,8,8,9,True,7,7,4,7,2,0,False,0,False,True,False,True,True,0,0,0,0,0,0,488,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Jaime Willis,29,False,False,8,1,11,9,8,6,False,0,0,0,0,2,4,False,2,False,True,True,False,True,0,0,0,0,0,0,585,"improve language test scores, gain more Canadian work experience"
John Hammond,43,True,True,7,0,6,12,9,7,True,12,6,8,7,4,4,True,0,False,False,False,True,True,5,5,7,5,10,9,474,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, explore provincial nomination programs"
Raymond Friedman,34,False,False,5,0,10,8,10,10,True,11,10,6,8,1,4,False,0,True,False,True,True,True,0,0,0,0,0,0,1109,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Julia Larson,36,True,True,3,2,6,9,11,6,True,7,9,8,10,1,4,True,2,False,True,True,True,False,8,1,5,8,12,10,513,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Clifford Payne,29,True,True,6,2,5,8,12,6,True,10,10,7,7,2,3,False,1,False,True,False,False,False,3,5,5,4,8,11,641,"upgrade to master degree, improve language test scores, gain more Canadian work experience"
Crystal Cole,39,True,False,3,1,12,12,7,11,True,5,10,9,4,2,4,True,1,True,True,True,False,True,0,0,0,0,0,0,1270,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
